business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,stars_avg,review_count,is_open,categories
EJFdWX908N8Yc2XG0Lky8A,"""River Moon Cafe""",Lawrenceville,"""104 43rd St""",Pittsburgh,PA,15201,40.472735,-79.9632647,4,Good,5,0,Cafes;Restaurants
o1fTwfqN0sDFNpV1CkOPPg,"""Crazy Mocha Coffee""",Lawrenceville,"""4032 Butler St""",Pittsburgh,PA,15201,40.4692949,-79.9612733,3.5,Below Avg,16,1,Restaurants;Sandwiches;Coffee & Tea;Food
#NAME?,"""Bruegger's Bagels""",,"""5217 Clairton Blvd""",Pittsburgh,PA,15236,40.3441937,-79.970963,2.5,Below Avg,5,1,Breakfast & Brunch;Bagels;Restaurants;Bakeries;Sandwiches;Food
HcEJ2YiSLX_mT3RE0hvKWQ,"""Blush""",Downtown,"""135 9th St""",Pittsburgh,PA,15222,40.444236,-79.998325,3,Below Avg,21,1,Nightlife;Adult Entertainment;Strip Clubs
shNBn6mTKxZ124yPC_H02Q,"""T.W.Tile""",,"""248 Tara Dr""",Pittsburgh,PA,15236,40.327956,-79.960479,3.5,Below Avg,3,1,Kitchen & Bath;Countertop Installation;Home Services;Tiling;Contractors;Shopping;Home & Garden
mLP-jIIRdoaYM7fJqqFurw,"""Napoli Pizzeria""",Squirrel Hill,"""2006 Murray Ave""",Pittsburgh,PA,15217,40.434399,-79.9229828,4,Good,53,1,Italian;Pizza;Restaurants;Salad
htKaC4cHY4wlB4Wqb8CDnQ,"""Allure""",Bloomfield,"""4730 Liberty Ave""",Pittsburgh,PA,15224,40.4613787,-79.948991,4,Good,4,1,Accessories;Women's Clothing;Fashion;Shopping
7m9ux0KgTe2NwUU0XA_9xQ,"""Double Take Auto Detailing""",Banksville,"""3030 Banksville Rd""",Pittsburgh,PA,15216,40.40132142,-80.04301719,4.5,Good,14,1,Automotive;Auto Detailing;Mobile Dent Repair;Auto Upholstery;Auto Glass Services
LOeVGnlOti05f86ZZbgY7Q,"""Coyle Auto Body""",,"""540 McNeilly Rd""",Pittsburgh,PA,15226,40.3835043,-80.0178472,3.5,Below Avg,3,1,Automotive;Auto Repair;Body Shops
Qs7X8UTwtp9SvtxvEP4hLg,"""Fine Wine & Good Spirits - Premium Collection""",,"""The Water Works, 974 Freeport Rd""",Pittsburgh,PA,15238,40.48869359,-79.89080975,5,Good,7,1,Beer;Wine & Spirits;Food
